sentence,label
"Свергнутый президент Египта и бывший лидер исламистской организации «Братья мусульмане» Мухаммед Мурси скончался в зале суда в Каире в понедельник, 17 июня 2019 года, во время слушания его дела о причастности к шпионажу.",0
"Новый глава Скотленд-Ярда будет приведена к присяге перед королевой, ей полагается оклад в размере 270 тысяч фунтов в год (без учёта премий).",0
"Акция в поддержку журналиста Ивана Голунова, которому правоохранительные органы России подбросили наркотики и пытались сфабриковать уголовное дело, состоялась 12 июня 2019 года, несмотря на признание властями преступления со стороны полицейских и снятия с журналиста всех обвинений.",0
"В Венесуэла|Венесуэле 7 октября 2012 года проходят Президентские выборы в Венесуэле (2012)|президентские выборы, которые, по мнению аналитиков, станут самыми напряженными за всю политическую карьеру действующего лидера страны Чавес, Уго|Уго Чавеса, пробывшего у власти почти 14 лет.",0
"Россия заявила, что пойдет на ответные меры в случае любых санкций.",-1
"Более 50 тысяч турецких граждан потеряли работу в связи с попыткой переворота, в организации которого правительство обвинило исламского проповедника Фетхуллу Гюлена.",-1
"В частности Винник признался в отмывании денежных средств и иного имущества, приобретенного другими лицами преступным путём, в особо крупном размере, и осуществлении мошеннической деятельности с использованием имеющегося у него доступа к криптовалютной бирже BTC-e.",0
"Нужно сказать, что занявший второе место испанец Давид Херреро из местной испанской команды Хасобео Галисиа, настолько был поглощён погоней и желанием стать победителем этапа, что на одном из поворотов не вписался в него и чудом затормозил перед ограждением дороги.",0
"Газета Global Times цитирует недовольных приговором китайцев, которые критиковали судебную систему США и не советовали учить детей в Америке.",0
"На 3 декабря, по данным Федерации Спортивного Кикера, в составе сборной уже было тринадцать человек, но остановлюсь немного подробнее на двоих из них, участвующих в категории Disabled: Косоруковой Александре и Рябчиковом Антоне.",1
"Как написал Шмидт в недавней колонке в журнале Harvard Business Review, в 2011 году Google обратит пристальное внимание на мобильный рынок.",0
"В средствах массовой информации Германии прокручиваются видеоролики, на которых выступает террорист марроканского происхождения Беккай Харрах, имеющий немецкое граджанство и на чистом немецком языке говорящий о том, что если Германии в течение двух недель не выведет воинские подразделения из Афганистана, то страна погрузится во мрак тероористический акций.",0
"Обе стороны также вновь призвали Россию вывести свои войска из грузинских регионов Абхазии и Южной Осетии в соответствии с соглашением о прекращении огня, заключенным в 2008 году.",0
"Лауреатов в категориях «Артист года», «Лучший автор песен» и «Прорыв года» определяет команда редакторов Apple Music, в которую входят музыкальные критики и знаменитости.",0
Сценаристом эпизода является исполнительный продюсер и шоураннер Стивен Моффат.,0
"Как сообщил судья округа Галвестон Марк Хенри, в числе пострадавших — офицер полиции, прибывший на место происшествия.",0
"Ранее удары по Сирии осудили Россия, Китай и Иран.",0
"Во время полёта «Дискавери», Хокинг выразил благодарность Селлерсу и остальным членам экипажа за их благородный жест.",1
"Фильм снят по книге Эндрю Ходжеса «Алан Тьюринг: Энигма» и описывает жизнь и работу знаменитого английского математика Алана Тьюринга, который помог взломать код немецкой шифровальной машины Энигма во время Второй мировой войны.",0
"В Новой Зеландии хотят знать, почему австралийцы живут лучше нихслева|Джон Ки, — премьер-министр Н. Зеландии",0
"В воскресенье, 12 августа 2018, в Санкт-Петербурге по адресу Малая Невка, дом 25, в рамках гражданской инициативы «Последний адрес» состоялась церемония установки мемориального знака трагически погибшему в период сталинских репрессий российскому учёному, ботанику Феодосию Викторовичу Самбуку, чьё дело было полностью сфальсифицировано сотрудниками НКВД СССР.",0
"Выждав удобный момент, они открывают огонь по сослуживцам или по военнослужащим и гражданскому персоналу НАТО.",-1
"Мать одного из подозреваемых, Нора Донда рассказала СМИ, что ее сын и его друг, который живет поблизости с отцом и бабушкой, это обычные студенты, которые весь день учатся в университете и только по выходным сидят перед компьютерами.",1
"Президент Турции Реджеп Тайип Эрдоган, который поддерживал хорошие отношения с Мурси, выразил соболезнования: «Пусть Господь утешит душу нашего брата Мурси, нашего мученика».",1
Маргарет Тэтчер на похоронах Рональда Рейгана 11 июня 2004 года,0
"Как отмечает Bloomberg, Лилиан Беттанкур жила в пригороде Парижа Нёйи-сюр-Сен.",0
"Споры о уровне комиссий между крупными американскими ритейлерами, в том числе Walmart, Amazon, Best Buy и Target, а также платёжными системами — Visa и MasterCard продолжается уже почти 10 лет.",0
В течение жизни он отдал на благотворительность почти 2 миллиарда долларов США.,0
"После войны она вышла замуж за филиппинского журналиста Вениньо С. Акино младшего, который после избрания Маркоса президентом в 1965 году стал лидером оппозиции.",0
Владимир Машков на Первом Одесском международном кинофестивале,0
Осенью 2015 года он по рекомендации вербовщика отправился в Сирию (по другим данным — в Ливию).,0
Теперь до конца сезона главным тренером «Спартака» будет Валерий Карпин.,0
Замечание пресс-секретаря прозвучало важно ещё и в разрезе достигшего вчера пика конфликта между Владиславом Сурковым и представителя Следственного комитета России Владимира Маркина.,-1
"По информации The Times, он являлся высокооплачиваемым и особо ценным агентом службы внешней разведки Великобритании MI6.",0
"При этом он был вторым в США преступником, при чьей смертной казни применялся только пентобарбитал, обычно применяемый в хирургии для достижения общего наркоза.",0
"Однако, приговоры могут вынудить Берлускони окончательно покинуть политику.",0
18 апреля 2020 года Венгерский национальный банк объявил открытый конкурс на разработку проектов памятных монет.,0
"После бегства из Украины Виктора Януковича Кернес стал одним из лидеров «Украинского фронта», заявлявшего о необходимости наведения порядка в стране.",0
"Однако в письме в поддержку Пекина, напротив, говорится о «выдающихся достижениях Китая в сфере защиты прав человека».",1
"Эйсебио родился в 1942 году на территории современного Мозамбика, входившего тогда в число колониальных владений Португалии.",0
Совместно с Тамарой Владимирцевой Панин выступил режиссёром сериала «Полный вперед!» и фильма «Внук Гагарина».,0
"Соглашение обязывает боевиков Талибана не нападать на иностранные силы под командованием США, которые обязались постепенно выйти из Афганистана к июлю 2021 года в обмен на гарантии, данные талибами.",0
"Диск, который был подписан Ленноном по просьбе Марка Чепмена, стал ключевой уликой при расследовании обстоятельств гибели музыканта в 1980 году.",0
Эти посты согласно пакетным договоренностям были «забронированы» за бывшим вице-премьером Александром Жуковым («Единая Россия») и Иваном Мельниковым (КПРФ).,0
В момент аварии в автобусе находились 44 человека — граждан России.,0
Целями мероприятия являются выявление значимых проектов и персоналий Рунета и определение тенденций его развития.,0
"В проекте осуждаются ракетные испытания, проводимые Северной Корее, и напоминается об обещании придерживаться моратории на такие испытания.",-1
"Стефан планировал обратиться к властям города Кембриджа, где братья Царнаевы проживали последние десять лет, за разрешением похоронить Тамерлана на муниципальном кладбище.",0
Роман «Мастер и Маргарита» считается величайшим романом русской литературы XX века.,0
"Однако Алан Дзагоев, оформивший на 79-й минуте дубль, и Роман Павлюченко, вышедший на замену и установивший окончательный счет в матче, — 4:1 — сняли все вопросы об исходе встречи.",1
"Оппонент Моралеса Хорхе Кирога (Jorge Quiroga) признал свое поражение, сказав: «Я поздравляю Эво Моралеса».",1
"The Times утверждает, что Диего Симеоне станет преемником Моуринью.",0
"Такой запрет со стороны России вызвал резкую реакцию Беларуси: президент Лукашенко заявил, что Россия нарушает нормы Таможенного союза:",-1
"Накануне Полтавской битвы мимо Стародуба, где в хозяйском доме хранилась икона, шли войска шведов.",0
После этого в коалиционном правительстве Владимира Шпидлы в 2002-2003 годах Руснок исполнял обязанности министра промышленности и торговли.,0
"Вызов на станцию скорой помощи поступил от прохожего, ''«бригада медиков прибыла на место ДТП с 7-й подстанции скорой помощи через шесть минут»'', однако помочь пострадавшим уже не смогла.",0
После начала протестов Министерство внутренних дел приступило к повторному расследованию дела.,-1
"ODS имеет в 200-местной Нижней палате чешского парламента 53 депутата, TOP 09 - 41.",0
Первообраз хранится в церкви святителя Николая Чудотворца в селе Балыкино Погарского района Брянской области.,0
"Оцепленными также остаются ещё четыре места в Солсбери — дом Скрипаля, паб ''Bishopʼs Mill'', скамейка в парке, где были найдены отравленные, и кладбище, где похоронены жена и сын бывшего разведчика.",0
"Ранее эту же информацию сообщал представитель движения «Братья-мусульмане»: «Мурси изолировали от его помощников, он помещен в здание министерства обороны».",0
"Там также в этот момент находились представители немецкой концертной компании Semmel Concerts, которые выступили организаторами.",0
"Возможно, дело в том, что о рокировке Пейджа и Шмидта Google сообщил одновременно с публикацией финансовых итогов года.",0
"48-летний Владимир Макеенко (Володимир Володимирович Макеєнко) — украинский политический деятель, соавтор Декларации о государственном суверенитете Украины ruuk и Акта провозглашения независимости Украины.",0
Умер раненный в Афганистане американский военный,0
Чжан Инъин родилась в семье китайских рабочих в Наньпине провинции Фуцзянь.,0
"Бакинский суд по тяжким преступлениям приговорил сегодня, 20 июля 2017 года, российско-украинско-израильского блогера Александра Лапшина к трём годам тюрьмы за незаконное пересечение границы контролируемого сепаратистами Нагорного Карабаха.",-1
"Американский самолёт в Афганистане, 2008 год",0
"Кандидатке на пост президента 54 года, она родом с севера страны и ранее работала в парламенте Мали, где занималась проблемами женщин и детей.",0
Адвокат Александра Кокорина Андрей Ромашов прокомментировал приговор суда:,0
"Чавес настроил против себя Соединенные Штаты и ряд других государств, после того как национализировал крупные компании и получил расположение таких мировых лидеров как Фидель Кастро на Кубе, Махмуд Ахмадинеджад — в Иране и Муаммар Каддафи — в Ливии.",1
"По некоторым данным, его имя при рождении — Дудаев Асламбек Андарбекович.",0
"25 октября он объявил о том, что управляющий небольшого фонда в Коннектикуте Тодд Коумс (Todd Combs) станет инвестиционным менеджером компании Berkshire Hathaway, причем под его руководство будет отдана ""значительная часть"" активов компании.",1
Российский блогер Александр Лапшин приговорён в Азербайджане к трём годам тюрьмы за посещение Карабаха,0
Об этом PanARMENIAN.Net сообщило представительство Нагорно-Карабахской республики (НКР) в США.,0
"Ставку тренеры будут делать на тамбовских игроков, но и иногородним спортсменам путь в клуб не заказан.",0
"У созданной ими программы результаты оказались на 35 % лучше, чем у профессионального «считывателя» по губам.",0
Впервые международные террористические организации отчётливо сформулировали свои требования к германскому правительству: в течение двух недель после выборов вывести из Афганистана свой воинский контингент.,0
"На следующий день в субботу приступ повторился и врачи увезли Арканова в Центральную клиническую больницу, где он через неделю скончался.",0
"«Согласно конституции, если инаугурация президента по какой-либо причине не может состояться перед Национальной Ассамблеей, он может сделать это перед Верховным судом; при этом не указано, как и когда, — сказал поддерживающий Чавеса законодатель Хосе Авила.",0
"Так, ему принадлежит около 3 процентов акций Google, что, по их нынешней цене, равняется почти семи миллиардам долларов.",0
"Идея проекта принадлежит продюсеру Александру Бондареву, который был другом Елизаветы Глинки и работал как волонтёр в её фонде.",1
Таможенный контроль со стороны Беларуси возобновился после введение Россией запрета на импорт продовольственной продукции белорусских предприятий Россельхознадзором и введения Россией таможенных проверок транзита товаров из Беларуси в Казахстан.,-1
В Косово убит ведущий сербский политик Оливер Иванович,0
Американский Forbes в 2018 году оценил состояние Гейтса в $90 млрд.,0
При этом указания на секретные тюрьмы в Польше и Румынии всплывают вновь и вновь.,-1
"В другом эксперименте Минников доказал, что во время отсутствия интернета у школьников улучшается самочувствие и «у них появляется больше свободного времени».",0
По паспорту Владимиру Этушу исполняется 94 года.,0
"В 2016 году в возрасте 23 лет она стала послом доброй воли Управления ООН по наркотикам и преступности, по торговле людьми в условиях конфликта.",0
"Кроме того, на нем лежит ответственность по управлению всеми сельскохозяйственными активами Berkshire Hathaway, объединенными в компанию Buffett Farms.",0
"ФБР и полиция Чехии в среду, 19 октября 2016 года, арестовали в Праге российского гражданина по подозрению в причастности к кибератакам против США.",-1
"В заявлении также говорится, что погибший полицейский был охранником Мосийчука.",0
Руководство движения «Братья-мусульмане» и другие сторонники отстранённого президента также подвергаются арестам.,0
"Как следует из переписки, опубликованной Трампом-младшим, он с энтузиазмом согласился встретиться с женщиной, которую ему представили как адвоката российского правительства, возможно, располагавшего разоблачительной информацией о кандидате в президенты от демократов Хиллари Клинтон в рамках усилий Москвы по поддержке его отца.",-1
"Официальный представитель Талибана Забиулла Муджахид у себя в твиттере утверждает, что в результате атаки талибов в деревне Ахунд Баба в районе Бараки Барак были убиты «5 американских захватчиков и 9 наёмников», со стороны талибов погибло «2 муджахида».",-1
"По его словам, он намерен отменить часть принятых Бараком Обамой мер, направленных на нормализацию отношений с Кубой после полувековой изоляции.",-1
"Среди других звезд, выразивших свой протест против пресловутого закона — американский шоумен с телеканала Bravo Энди Коэн, который ранее вел конкурсы «Мисс Вселенная».",0
Президент Израиля Реувен Ривлин и премьер-министр Биньямин Нетаньяху обратились к Путину с просьбами о помиловании девушки.,0
"После этого он дважды переназначался на этот пост после отмены прямых выборов: в 2005г. - по представлению Владимира Путина, тогда президента России, и в 2010г. - по представлению действующего главы государства Дмитрия Медведева.",0
"Газета «Гардиан» приводит также высказывание одного иранского офицера, что британские много раз моряки заходили в иранские территориальные воды.",0
"На северодвинской сцене роли исполняли: Сергей Виконтович Астахов (Козлов) (''Роберт Кэплен''), Эвелина Висвальдовна Блёданс (''Фреда''), Татьяна Альбертовна Абрамова (''Олуэн Пиил''), Ольга Альбертовна Арнтгольц (Бетти),  Андрей Игоревич Харитонов (''Чарльз Трэвор Стэнтон''),  Вахтанг Ираклиевич Беридзе (''Гордон Уайтхауз'').",0
Сопредседателями с грузинской стороны стали первый заместитель министра иностранных дел Давид Залкалиани и советник министра обороны Шота Гвинерия.,0
"При этом банк «Пересвет» возложил ответственность за неудачное размещение облигаций, помешавшее привлечь два миллиарда рублей, на средства массовой информации",-1
"Газета «Гардиан» приводит также высказывание одного иранского офицера, что британские много раз моряки заходили в иранские территориальные воды.",0
2 февраля 1997 года тело задушенного Солоника было обнаружено недалеко от Афин.,0
"Эти статьи предусматривают наказание до пяти лет тюремного заключение, но вынесение такого вердикта маловероятно, учитывая обращение прокурора.",0
"Связанное с Исламским государством агентство Amaq назвало Шекатта своим «солдатом», который «осуществил эту операцию в ответ на призывы сделать мишенью граждан стран коалиции».",1
"Компания считает, что правительство США завысило их на 20—50 %.",-1
"Однако в четверг представитель неправительственной организации ""Сеть поддержки выборов в Зимбабве"" (Zimbabwe Election Support Network, ZESN) назвал результаты мониторинга процесса выборов ""катастрофой"" для Цвангираи.",-1
"Заявление Дональда Трампа-младшего о том, что его встреча с российским адвокатом в июне 2016 года не была связана с предвыборной кампанией его отца, продиктовал сам президент Дональд Трамп, сообщила газета ''Washington Post''.",0
Однако многие поклонники Бандеры старались не афишировать его сотрудничество с нацистской Германией в борьбе за независимость Украины в качестве лидера Организации украинских националистов (ОУН).,-1
"Болгарское правительство уходит в отставку после массовых протестов, вызванных сильным сокращением социальных расходов и резким увеличением цен на электроэнергию, сообщает агентство ''Reuters''.",0
Жозе Моуринью пока является самым успешным тренером в истории Челси.,0
"Мюррей признан виновным в смерти Джексона из-за того, что он прописал певцу мощный анестетик «Пропофол» для сна, а затем не проконтролировал должным образом состояние Джексона.",-1
"Сборная России по футболу должна набрать шесть очков в ближайших отборочных матчах чемпионата Европы 2012 года с командами Македонии и Ирландии, которые состоятся 2 и 6 сентября соответственно.",0
Фотожурналист из Швеции Пол Хансен стал лауреатом премии «World Press Photo» в номинации «фотография года».,0
"Метцнер славился своими способностями разбираться в наиболее запутанных и сложных делах, в связи с чем к его услугам нередко прибегали международные корпорации.",1
"Турция, США и Европейский Союз считают Курдскую рабочую партию – террористической организацией.",0
"JSTOR отказалась от претензий к Шварцу, но прокуратура приняла решение продолжить дело, по которому ему грозило до 35-ти лет тюремного заключения.",1
"Для помощи полиции в Солсбери откомандированы 180 военнослужащих, в том числе офицеры химзащиты Королевского танкового полка, 40 морских пехотинцев, недавно участвовавших в учениях по отражению токсической угрозы, 20 офицеров Королевских военно-воздушных сил и эксперты расположенного неподалеку Центра химической, биологической, радиологической и ядерной обороны.",0
"Глава Союза ММА России Фёдор Емельяненко обратил внимание, что «по факту зрители увидели реальные бои», хотя детям до 12 лет не разрешается выступать по правилам ММА.",-1
Сенатор Джон Керри прибыл в воскресенье вечером в Пакистан.,0
"Десятки мафиозных боссов могут быть освобождены из тюрем по всей Италии из-за риска заражения коронавирусом․ Судьи уже освободили как минимум трех стареющих бандитов, поместив их под домашний арест.",0
"Как сообщает официальный блог создателя компьютерного антивируса McAfee Джона Макафи (John McAfee), 1 декабря 2012 года полиция Белиза арестовала миллионера при попытки пересечения им границы Белиза и Мексики: ''«Мы получили неподтвержденные сведения о том, что Джон Макафи был схвачен на границе Белиза и Мексики»''.",0
"По предварительным результатам парламентских выборов, состоявшихся в Азербайджане, победу с подавляющим преимуществом одержала партия «Новый Азербайджан» президента страны Ильхама Алиева.",0
"Сборная России по футболу должна набрать шесть очков в ближайших отборочных матчах чемпионата Европы 2012 года с командами Македонии и Ирландии, которые состоятся 2 и 6 сентября соответственно.",-1
"На прошлой неделе 19-летнему Филлипосу, который вместе с Царнаевым учился в Университете Массачусетса, были предъявлены обвинения в том, что он солгал следователям о том, что заходил в комнату Царнаева в общежитии через три дня после взрывов.",0
Своё решение руководство европейского государства мотивирует нестабильной экономической обстановкой в зоне евро.,-1
"Единственный гол в матче — на счету Жервиньо, отличившегося с передачи Дрогбы под занавес первого тайма.",1
"В одном из популярных комментариев в Weibo защитникам советуют почитать трактат о военной стратегии «Искусство войны» китайского полководца Сунь-цзы, жившего около 2500 лет назад.",1
"Громов Александр 22:18, 4 января 2012 (UTC)",0
"Продюсером фильма выступил оскароносный актер Форест Уитакер, а одну из ролей исполнила Октавия Спенсер, в прошлом году получившая «Оскара» за лучшую роль второго плана в фильме «Прислуга».",1
"Следует напомнить имена израильтян погибших во время землетрясения, это Офер Мизрахи, Габи Ингаль и Офер Леви.",0
Легендарный баскетболист Коби Брайант разбился на своём вертолёте,1
Приятель Джохара Царнаева Робел Филлипос выпущен под залог,1
"В начале июня власти Тамбова и области должны были объявить о том, кто будет защищать цвета региона во второй лиге российского первенства.",0
В воскресенье Николя Саркози выпустил заявление с осуждением убийства двух французских заложников в Нигере.,0
"За сюжет комикса возьмётся Дэвид Уокер, а художником будет Джонас Шарф.",0
