,sentence,label
119,"Официальный представитель Талибана Забиулла Муджахид у себя в твиттере утверждает, что в результате атаки талибов в деревне Ахунд Баба в районе Бараки Барак были убиты «5 американских захватчиков и 9 наёмников», со стороны талибов погибло «2 муджахида».",0
120,"По его словам, он намерен отменить часть принятых Бараком Обамой мер, направленных на нормализацию отношений с Кубой после полувековой изоляции.",0
127,"При этом банк «Пересвет» возложил ответственность за неудачное размещение облигаций, помешавшее привлечь два миллиарда рублей, на средства массовой информации",0
131,"Связанное с Исламским государством агентство Amaq назвало Шекатта своим «солдатом», который «осуществил эту операцию в ответ на призывы сделать мишенью граждан стран коалиции».",1
132,"Компания считает, что правительство США завысило их на 20—50 %.",0
133,"Однако в четверг представитель неправительственной организации ""Сеть поддержки выборов в Зимбабве"" (Zimbabwe Election Support Network, ZESN) назвал результаты мониторинга процесса выборов ""катастрофой"" для Цвангираи.",0
135,Однако многие поклонники Бандеры старались не афишировать его сотрудничество с нацистской Германией в борьбе за независимость Украины в качестве лидера Организации украинских националистов (ОУН).,0
138,"Мюррей признан виновным в смерти Джексона из-за того, что он прописал певцу мощный анестетик «Пропофол» для сна, а затем не проконтролировал должным образом состояние Джексона.",0
141,"Метцнер славился своими способностями разбираться в наиболее запутанных и сложных делах, в связи с чем к его услугам нередко прибегали международные корпорации.",1
143,"JSTOR отказалась от претензий к Шварцу, но прокуратура приняла решение продолжить дело, по которому ему грозило до 35-ти лет тюремного заключения.",1
145,"Глава Союза ММА России Фёдор Емельяненко обратил внимание, что «по факту зрители увидели реальные бои», хотя детям до 12 лет не разрешается выступать по правилам ММА.",0
150,"Сборная России по футболу должна набрать шесть очков в ближайших отборочных матчах чемпионата Европы 2012 года с командами Македонии и Ирландии, которые состоятся 2 и 6 сентября соответственно.",0
152,Своё решение руководство европейского государства мотивирует нестабильной экономической обстановкой в зоне евро.,0
153,"Единственный гол в матче — на счету Жервиньо, отличившегося с передачи Дрогбы под занавес первого тайма.",1
154,"В одном из популярных комментариев в Weibo защитникам советуют почитать трактат о военной стратегии «Искусство войны» китайского полководца Сунь-цзы, жившего около 2500 лет назад.",1
156,"Продюсером фильма выступил оскароносный актер Форест Уитакер, а одну из ролей исполнила Октавия Спенсер, в прошлом году получившая «Оскара» за лучшую роль второго плана в фильме «Прислуга».",1
158,Легендарный баскетболист Коби Брайант разбился на своём вертолёте,1
159,Приятель Джохара Царнаева Робел Филлипос выпущен под залог,1
163,"В другом твите Хаменеи заявил, что США сыграли главную роль в создании Исламского государства (ИГ) на саудовские деньги, направив затем ИГ «против иракского и сирийского народов».",0
168,Киселёв демонстрировал верноподданические отношения к нынешнему президенту России.,1
169,"«Зенит» привычно для себя держал мяч, пытаясь вести игру первым номером, а «Спартак» возлагал надежду на контр-игру и своих быстрых нападающих.",1
171,"Социалист Марти в своём докладе сообщает, что, вероятно, аэропорт в Польше использовался как пункт пересадки пленников ЦРУ, а также о секретном лагере для подозреваемых в терроризме.",0
178,Сергей Данкверт позже прокомментировал заявление Лукашенко.,0
179,"По данным полиции, всего в химической атаке на Сергея Скрипаля и его дочь Юлию участвовала команда из шести человек — «ударная российская группа, контролируемая российским правительством».",0
181,"Однако, он может иметь трудности в реализации своей новой программы, так как он не имеет полного контроля над своей партией — «Движение к Социализму».",1
183,"Отставной американский адмирал Деннис Блэр уверен, что Южная Корея «начала терять терпение» в отношении КНДР",0
185,"Yahoo в течение долгого времени инвестировала в качественный контент и создала некоторые из наиболее любимых потребителями интернет-бренды в сфере спорта, новостей и финансов.",1
186,"По данным Times of India, с этого времени Насер начал работать над логотипами и флагами для террористической группировки.",0
190,"Об Италии вообще нечего говорить: её долги в два раза больше, чем Греции, Ирландии, Португалии и Испании, вместе взятых», — цитирует «Росбалт» Сулика.",0
199,"В Словакии в результате беспорядков, устроенных российскими болельщиками, был прерван матч Лиги чемпионов между командами «Спартак» (Москва) и «Жилина» (Жилина, Словакия), сообщает РБК.",0
202,"Газета Global Times цитирует недовольных приговором китайцев, которые критиковали судебную систему США и не советовали учить детей в Америке.",0
210,Некоторые видят параллели между войнами в сериале и современной историей Китая — после совместной борьбы с внешним врагом в китайско-японской войне Коммунистическая партия и националистический Гоминьдан начали гражданскую войну.,0
214,"Зрителям и организаторам соревнований было очевидно, что посеянная под первым номером пара китаянок Ван Сяоли и Юй Ян, две пары южнокорейских спортсменок (Чун Кюн Ын/Ким Ха На и Ха Чжон Ын/Ким Мин Чжон) и один индонезийский дуэт (Грейся Полии и Мейлиана Джаухари) намеренно пытались проиграть свои матчи, чтобы в кубковой части соревнований выйти на нужных противников и повысить свои шансы на медаль.",0
216,В 2010 году Беттанкур оказалась в центре политического скандала о финансировании кампании экс-президента Франции Николя Саркози.,0
220,В 2016 году в результате авиаудара США на окраине города Кундуз погибло 33 мирных жителя.,0
225,"«Этот шаг противоречит попыткам России утверждать, что она является ответственным игроком в киберпространстве, и демонстрирует повторяющуюся модель безответственных киберопераций со стороны ГРУ в отношении ряда стран, — заявил Помпео.",0
227,"Еще до официального окончания чемпионата ""Спартак"" зарубили на аттестации в РФС из-за недостаточного финансирования, зато его место занял ФК ""Тамбов"", которого на то время фактически не существовало как команды.",1
228,"Представитель одной из компаний, которые разрабатывали систему кодирования высококачественных DVD, сказал, что они изучают сообщение о том, что хакер взломал этот код.",0
239,Также Владимира Машкова поздравил его учитель Олег Табаков:,1
240,"В публикации говорится, что главная команда основана на базе ""Академии футбола"", ее главным тренером стал тренер ""академиков"" Сергей Первушин.",1
242,"Ранее отец Джексона также подал иск о насильственной смерти, обвиняя Мюррея в даче лживых показаний врачам, пытавшимся спасти жизнь певца.",0
245,"В 2006 году Коумс основал фонд Castle Point, заручившись поддержкой у бывшего топ-менеджера банка Goldman Sachs Стивена Фридмана.",1
264,После публикации указа о помиловании Нетаньяху поблагодарил «своего друга» Путина.,1
276,"Китайские власти расследуют деятельность северокорейского банка, подозреваемого в финансировании импорта товаров, которые Пхеньян, возможно, использует для своей ядерной программы.",0
282,Министерство финансов США ввело санкции против кубинской нефтяной компании Cubametales за поддержку венесуэльского режима Николаса Мадуро.,0
285,Смертник-талиб протаранил колонну бронемашин НАТО,0
287,"Речь идет, в частности, о потенциальном министре юстиции Марии Бенешовой.",0
288,"ФБР и полиция Чехии в среду, 19 октября 2016 года, арестовали в Праге российского гражданина по подозрению в причастности к кибератакам против США.",0
290,Между тем Трамп не планирует разрывать восстановленные в 2015 году после полувекового перерыва дипломатические отношения — и обещает уважать суверенитет Кубы.,1
291,Пропажа Топалова было обнаружено сотрудниками следственного изолятора в 5:15.,0
303,Террористы требуют от Германии подчинения,0
306,"Жители столицы страны, Каракаса, вышли на улицы, чтобы отпраздновать победу Мадуро.",1
317,"Подозреваемыми оказались два студента, каждому из которых по 21 году.",1
318,"Оказалось, что стоимость картины может достигать €30 млн, поскольку она является работой Рембрандта.",1
322,"77-минутный альбом Revival тяжело слушать, по ходу прослушивания погружение в музыку усиливается, из-за гостей Ed Sheeran and X Ambassadors.",1
324,"Как отмечается в заявлении, с которым выступила пресс-секретарь внешнеполитического ведомства Морган Ортагус, собеседники подтвердили общую приверженность США и Словении – союзников по НАТО, которых объединяют также двусторонние партнерские отношения, – делу обеспечения глобальной безопасности.",1
328,В заявлении он также осуждал решение президента Дональда Трампа «отдать Аль-Кудс евреям» (признание Иерусалима столицей Израиля) и критиковал «кафиров в националистическом безбожном обществе».,0
329,Анджело Амата является вторым человеком в Ватикане после Папы Римского.,1
331,"В Перу под расследование попали пять экс-президентов: Альберто Фухимори (1990—2000 годы), Алехандро Толедо (2001—2006 годы), Алан Гарсия (1985—1990 и 2006—2011 годы), Ольянта Умала (2011—2016 годы) и Педро Пабло Кучински (2016—2018 годы).",0
332,"Посол Евросоюза на Южном Кавказе Питер Семнеби и представители ПАСЕ (Парламентской ассамблеи Совета Европы) призывают руководство Грузии отменить чрезвычайное положение, при котором запрещены митинги, демонстрации и вещание независимых теле- и радиостанций, как можно скорее.",0
334,"Мы в НАСА горды, что принимаем участие в чествовании Стивена Хокинга, тем, что его медаль побывала в космосе на борту шаттла  „Дискавери“ STS-121».",1
335,"Власти Сирии отвергают эти обвинения и заявляют, что сообщения о химической атаке выдуманы повстанцами, это мнение разделяет Россия.",0
337,"В номинации «Проза года» победил сборник архимандрита Тихона (Шевкунова) «Несвятые святые и другие рассказы» (издательство Сретенского монастыря, «ОЛМА Медиа Групп»).",1
347,"Полиция задержала стрелка, 17-летнего школьника Димитриоса Пагуртзиса (Dimitrios Pagourtzis).",0
348,"Речь идет о скандальном деле Mediaset, в рамках которого Берлускони обвинялся в масштабных финансовых махинациях.",0
349,"В своём заявлении Белый дом подверг критике этот шаг Сальвадора, а также дипломатическое давление Пекина, которое привело к принятию этого решения.",0
350,Многодетный хакер из Тюмени осуждён за взлом восьми сайтов,0
358,"Испанский сатирический журнал El Jueves («Четверг»), в знак солидарности с французскими коллегами из журнала Charlie Hebdo опубликовал карикатуру на пророка Мухаммеда.",1
365,А вот у Bruins неожиданно блещут Давид Крейчи (десять голов) и Натан Хортон (восемь шайб).,1
366,Вашингтон предлагал Англии провести военную акцию в Иране,0
368,Сборная России в первом матче Евро-2012 разгромила чехов,1
370,"Однако им для этого было достаточно завоевать только титулы WBC, WBA и IBF.",1
372,"Особое внимание уделяется Владимиру Карпецу, как одному из возможных лидеров многодневки.",1
375,"В 1986 Корасон Акино возглавила народное восстание поддержанное военными, которое привело к бегству из страны президента-диктатора Фердинанда Маркоса, находившегося у власти с 1965 года.",1
377,"Первая ракетка мира Новак Джокович из Сербии стал победителем Открытого чемпионата США среди мужчин, одержав победу над испанцем Рафаэлем Надалем со счетом 6:2, 6:4, 6:7, 6:1.",1
378,"''Rolling Stones'' прибыли в Гавану в четверг, всего через два дня после завершения исторического визита Обамы, положившего конец более чем пяти десятилетиям взаимной вражды между США и Кубой.",0
380,Такое начало турнира для Челси самое худшее в истории клуба.,0
386,26 октября 2012 года суд Милана признал бывшего премьера Италии Сильвио Берлускони виновным в схемах по уклонению от уплаты налогов и приговорил его к четырём годам тюрьмы.,0
387,"«Хезболла» — политическая партия, выступающая за создание в Ливане исламского государства по образцу Ирана.",1
388,Указ Трампа запрещает проводить финансовые сделки с правительством Мадуро и государственной нефтяной компанией PDVSA.,0
403,"Ведущий сербский политик в Косово Оливер Иванович убит во вторник, 16 января 2018 года, выстрелами из проезжавшей мимо машины, когда он входил в штаб-квартиру своей партии.",1
405,"Он также помолился за то, чтобы израильтяне и палестинцы смогли жить в мире.",1
406,Президенту Бразилии Дилме Руссефф грозит импичмент,0
407,"Он ничтожество по сравнению с великими мастерами Голливуда, такими как Джон Хьюстон, Альфред Хичкок или Билли Уайлдер.",1
409,"Сиссе выдвигается от политического ""Союза за республику и демократию"", основанного в 2003 году.",1
416,"В письме Джозефу Магуайру, шефу национальной разведки, сенаторы выразили обеспокоенность тем, не цензурирует ли Китай контент, который видят американские пользователи приложения.",1
418,"У Люси Лью меткий глаз, великолепное чувство истории и сильная любовь к актерам.",1
420,"По неофициальным данным ""Ъ"", в качестве главного претендента на этот пост рассматривается гендиректор ОАО ""Башкирэнерго"" Николай Курапов, считающийся в республике ""крепким хозяйственником"" и относительно неполитизированной фигурой.",1
421,"Надеяться, правда, на это не приходится из-за своеобразной внешнеполитической линии Российского руководства, вернее полному ее отсутствию.",0
428,В своём послании он подверг критике политику Дональда Трампа за поддержку Израиля и консерваторов за их «недостаточно агрессивную» политику.,0
429,"Представитель Пентагона, полковник Дэйв Батлер подтвердил, что афганские военные запросили у союзников «точечную поддержку с воздуха» во время боев с талибами: «Они сообщили и подтвердили, в каких районах не было дружественных сил.",0
430,"На прошлой неделе Франция заявила, что будет вместе с Великобританией направлять оружие повстанцам, если ЕС не ослабит эмбарго на поставку вооружений.",0
436,"Белый дом пояснил, что цель его действий – восстановление демократии в Венесуэле.",0
443,26-летний американец был сторонником Исламского государства (ИГ).,1
448,"«Совет (ЕС) продолжит изучать возможные новые и усиленные меры (санкции в отношении Ирана) и вернется к данному вопросу на следующем заседании, принимая во внимания действия Ирана», — говорилось в заявлении глав МИД стран ЕС.",0
450,"Fitch стало третьим по счету рейтинговым агентством, снизившим рейтинг долговых инструментов Кипра до уровня «бросовых».",0
451,"Обвинитель требовал для украинца 17 лет тюрьмы, но суд присяжных наложил более жёсткое наказание.",0
453,Патриарх Кирилл вспоминал о трагедии Южной ОсетииПодбитый грузинский танк в Цхинвали (фото из англоязычной статьи о конфликте в Википедии),1
454,В письме издателю Rolling Stone Янну Веннеру мэр Бостона Томас Менино обвинил журнал в придании Царнаеву статуса знаменитости.,0
455,"Рокфеллер также основал несколько международных и благотворительных организаций: Americas Society, влиятельную Трёхстороннюю комиссию и некоммерческую организацию помощи малообеспеченным ньюйоркцам New York City Partnership.",1
457,"Полицейские и солдаты ворвались в торговый центр и потребовали, чтобы Томма сдался, на что он ответил, открыв огонь по ним, убив полицейского и ранив еще троих.",0
458,"В июле два армянина и грузин ограбили церковь под Переславлем-Залесским, тогда же город наводнили цыгане-попрошайки, занимающиеся также торговлей наркотиками и мошенничеством.",0
462,"В несколько быстрых касаний россияне Дзагоев, Зырянов и Кержаков вышли в контратаку.",1
465,"Кроме того, считает Чавес, все обвинения, адресованные Ирану и Сирии, надуманны.",1
469,"Он обращается к Франции и французским гражданам, утверждая, что это они «начали убивать мусульман».",0
470,"Совет Европейского Союза в понедельник продлил до 23 июня 2019 года санкции против России, связанные с незаконной аннексией ею Крыма и Севастополя в 2014 году.",0
472,"Моралес против политики США по искоренению коки, а также против неолиберальной политики прошлого Боливийского правительства, включая соглашения о свободной торговле.",0
476,"Между тем газета ""Известия"" ранее сообщала со ссылкой на неназванные источники, что на этой неделе своих постов по решению главы государства могут лишиться губернаторы нескольких регионов - Приморского края С.Дарькин, Саратовской области Павел Ипатов, Кировской области Никита Белых и Пермского края Олег Чиркунов.",0
481,"В заявку сборной России под руководством Владимира Кузюткина попали связующие Вера Улякина и Евгения Старцева, нападающие Леся Махно, Любовь Соколова, Наталья Гончарова, Ольга Фатеева, Екатерина Гамова и Татьяна Кошелева, блокирующие Мария Борисенко (капитан команды), Мария Перепёлкина, Елена Константинова и Юлия Меркулова и два либеро Светлана Крючкова и Екатерина Кабешова.",1
485,"Перед перерывом на зиму в России предстоит сыграть ещё 19 тур чемпионата: «Зенит» сыграет с одним из главных конкурентов — «Анжи», а «Спартак» с «Рубином».",1
486,"Родившийся 12 июня 1915 года американский банкир, государственный деятель, глобалист и глава дома Рокфеллеров Дэвид Рокфеллер старший () — внук нефтяного магната и первого в истории долларового миллиардера Джона Дэвисона Рокфеллера, основателя Стандарт Ойл, младший брат 41-го вице-президента США Нельсона Рокфеллера и 37-го губернатора Арканзаса Уинтропа О. Рокфеллера.",0
492,"В номинации «Проза года» победил сборник архимандрита Тихона (Шевкунова) «Несвятые святые и другие рассказы» (издательство Сретенского монастыря, «ОЛМА Медиа Групп»).",1
493,Ранее 25 мая 2018 года продюсер сдался полиции Нью-Йорка и был задержан.,0
496,"Во время выступления прокурора он молча сидел, скрестив ноги и работая со своим планшетным компьютером.",0
497, Поздравляю с юбилеем известного художника коренного москвича Александра Шилова Его называют мастером портрета Он запечатлел эпоху через яркие образы разных людей Желаю Александру Максовичу здоровья и долгих лет творчества,1
501,"Госсекретарь Майк Помпео во вторник побеседовал по телефону с министром иностранных дел Словении Андже Логаром, сообщил Госдепартамент США.",1
502,"Аршавин вразрез отдал передачу на Кержакова, однако Александр не смог дотянуться до мяча, который, проскочив защитников, выкатился на угол вратарской.",0
503,В Афганистане смертник на заминированном автомобиле врезался в конвой НАТО с румынскими солдатами.,0
504,"Как утверждают в Odebrecht, с 2004 года они заплатили в качестве взяток почти 30 миллионов долларов.",0
506,"«То, что правительство Сальвадора пошло на поводу у явного вмешательства Китая во внутреннюю политику государства Западного полушария, вызывает серьезную озабоченность у Соединённых Штатов и приведет к переоценке наших отношений с Сальвадором», — говорится в заявлении Белого дома.",0
511,"Лидер московского отделения Федерации автовладельцев России (ФАР) Сергей Канаев думает, что при том количестве мандатов, которыми обладает «ЕР», в нынешней Думе мало что изменится.",0
522,"Великобритания планирует запретить экспорт в США препаратов, используемых для смертной казни путём инъекциикамера для смертной казни путём инъекции в тюрьме Сан-Квентина, Калифорния",0
529,"Бывший фронтмен группы Dion and the Belmonts, певец и композитор Дион Димуччи подал в суд на компанию ZeniMax Media.",0
531,"''Rolling Stones'' прибыли в Гавану в четверг, всего через два дня после завершения исторического визита Обамы, положившего конец более чем пяти десятилетиям взаимной вражды между США и Кубой.",0
536,Беларусь восстановила таможни на границе с Россией,0
538,"Тем временем отец Андерса Брейвика заявил, что его сын должен был убить себя.",0
547,"МТБЮ выдвигает обвинения как против Младича, так и против его бывшего союзника — бывшего политического лидера боснийских сербов Радована Караджича.",0
548,Кроме спортивной карьеры Армстронг вёл обширную благотворительную деятельность.,1
550,В сентябре 2012 года с прошением о предоставлении гражданства к властям Бельгии обратился совладелец крупнейшего в мире производителя предметов роскоши Louis Vuitton Moet Hennessy миллиардер Бернар Арно.,1
552,"Что касается действий сирийского правительства, то они направлены на борьбу с вооружёнными группировками, которые дестабилизируют обстановку в стране по заказу властей США и Израиля.",1
554,"ODS в лице своего нового председателя Мартина Куба заявила, что не поддержит предлагаемого президентом технического правительства.",0
556,"Американская певица и актриса Селена Гомес призналась на своей странице в Instagram, что недавно перенесла операцию по пересадке почки.",1
557,"Движение «Талибан» заявило 13 января, что американские и афганские войска напали в районе на тюрьму, где талибы держали пленных бойцов ИГ.",0
